RESP_ID,SUR_SCORE,MASKED_IP,CRT_DT,COUNTRY_CODE,REGION
13071656,8,"MTQ5,Dk1,TMy,A==",1/18/2018 8:48,FI,uusimaa
13071811,10,"MTM0Mjk4,TE0OA==",1/18/2018 8:59,FR,ile-de-france
13071889,9,"MzY4,DgzOTU=",1/18/2018 9:05,AE,dubai
13071909,10,MTM4MzU5MjY2Mg==,1/18/2018 9:06,CZ,praha
13071920,10,"MzU3ODcz,Tg1OA==",1/18/2018 9:07,IE,
13071988,10,"Mjk1,jk1ODE4OQ==",1/18/2018 9:11,HU,budapest
13072012,8,"MTM2ODUxMTE4,g==",1/18/2018 9:12,GB,
13072097,7,"MzA1ODE0,zYwOQ==",1/18/2018 9:17,IN,uttar pradesh
13072253,10,"MTg0,DEwMzMx,A==",1/18/2018 9:27,GB,
13072647,10,"MTI5,zcxMTI0Mg==",1/18/2018 9:50,GB,
13072656,8,"MTU2MjQ5,zE1,w==",1/18/2018 9:50,IT,
13072773,9,"MTM2ODIzMzky,g==",1/18/2018 9:57,GB,
13072952,8,"MTUzMTQ5,Tk3OA==",1/18/2018 10:06,AE,dubai
13073122,9,"MzEw,Dg3MjYxOA==",1/18/2018 10:17,GB,
13073163,3,"MjQ1,TA2ODUx",1/18/2018 10:19,VN,ha noi
13073194,9,"MzY0Mjg0ODA0,g==",1/18/2018 10:21,GB,
13073304,9,"MzAwMjY3,TYz,A==",1/18/2018 10:26,DK,hovedstaden
13073427,2,"MTM3,zk3OTQz,g==",1/18/2018 10:33,GB,
13073460,8,"MTQ1,Dk5,DQwMQ==",1/18/2018 10:35,GB,
13073480,10,"MTQ3,TUzODQwOQ==",1/18/2018 10:37,GB,
13073540,8,",zc0,jgx,jI4",1/18/2018 10:40,NL,noord-holland
13073612,10,"MzU2,Tk5OTgz,A==",1/18/2018 10:44,GB,
13073621,9,"OTM2ODYx,TY=",1/18/2018 10:44,BE,bruxelles-capitale
13073862,5,"MTQ1MTY3OTE2,Q==",1/18/2018 10:58,GB,
13073873,9,Mjg5ODc2MzI0MA==,1/18/2018 10:59,AU,new south wales
13073892,8,"MTUz,jYw,DY5,w==",1/18/2018 11:00,PL,podkarpackie
13073897,8,"MTg0ODQwOTc1,Q==",1/18/2018 11:00,NP,bagmati
13073911,6,MTMxODYxMjIxMw==,1/18/2018 11:01,IT,pisa
13074044,10,"MzQxMzc4MTc2,A==",1/18/2018 11:08,IN,haryana
13074089,10,"MzU2,Dg4,jQxOA==",1/18/2018 11:11,NL,noord-holland
13074170,7,"MTQyMjY0ODYy,w==",1/18/2018 11:16,IE,dublin
13074219,10,"MTA1,TQxODM0,g==",1/18/2018 11:19,GB,
13074493,10,"MzU4Mzc0,DEx,A==",1/18/2018 11:35,SE,stockholms lan
13074524,0,MzAxMDIzMTEyMg==,1/18/2018 11:36,BR,santa catarina
13074554,10,"MzU4,DIy,jQ3MA==",1/18/2018 11:37,NO,rogaland
